Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|2.89438199996948|1.50946792662144|299.9367|34.82108|8|127|False
2|4.39983510971069|1.23583479821682|202.1738|7.079823|8|281|False
3|2.83315587043762|1.07883939743042|296.1381|36.15267|8|142|False
4|2.52223706245422|0.82895240932703|130.1433|9.725342|8|281|False
5|2.86511015892029|1.03648851811886|299.558|35.91879|8|217|False
6|3.89433979988098|1.44288295358419|511.3312|63.57068|8|232|False
7|2.7646918296814|1.20612630099058|268.5333|30.21667|8|195.5|False
8|2.68716931343079|0.796276038885117|266.5664|32.46835|8|226.5|False
9|2.96506690979004|1.33021905720234|309.1899|34.90579|8|220|False
10|14.6827096939087|1.753237631917|656|75.45642|8|246|True
11|3.07109475135803|1.6617913082242|336.4015|36.46942|7|142|False
12|3.43053603172302|1.11352179348469|403.2531|45.77545|8|281|False
13|4.19551515579224|1.22858313471079|548.2384|59.5271|8|228.5|False
14|2.92176342010498|1.10533466339111|301.5814|34.25024|8|250|False
15|3.43569493293762|1.25789986997843|439.7933|57.11145|7|156|False
16|14.5986423492432|2.11731658875942|656|83.534|8|205|True
17|2.94729471206665|1.42007604390383|303.2345|33.7757|8|217.5|False
18|3.05114221572876|1.6938555598259|335.9554|40.08862|8|249.5|False
19|4.02052307128906|1.97390506565571|583.7159|102.6566|8|233|False
20|14.7953290939331|3.26569286882877|656|66.80273|8|243|True
21|3.8843400478363|1.50946441590786|482.8195|51.5332|8|232|False
22|3.98494791984558|1.83501555323601|527.8875|64.99658|8|179|False
23|3.17771601676941|1.39857849180698|370.3148|46.70923|8|217.5|False
24|6.30101251602173|1.84115141630173|444.7565|12.54993|8|281|False
25|3.15880513191223|1.19090811908245|364.8274|45.52747|8|257|False
26|2.75840520858765|1.1344092682004|261.9355|28.6145|8|277.5|False
27|3.53324007987976|1.4684483319521|435.9199|49.14685|7|221.5|False
28|11.1840696334839|1.48538385331631|1615.678|62.80957|8|281|False
29|4.52516794204712|1.60789688825607|630.4395|75.08472|8|214|False
30|8.04529285430908|1.31945827752352|637.1071|14.72595|8|281|False
