Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3.99047660827637|1.8610247656703|513.5018|57.72055|8|161.5|False
2|4.87947607040405|1.74346825182438|418.652|18.58295|8|280|False
3|3.59533762931824|1.09165672957897|435.604|49.27736|8|281|False
4|10.2636566162109|1.51212264299393|1320.809|42.24857|8|281|False
5|2.64041066169739|0.826652026176453|250.7115|29.37384|8|251.5|False
6|2.41451096534729|0.92082082927227|227.4462|30.57291|8|281|False
7|3.08441948890686|1.16476286202669|398.6066|71.42804|8|249.5|False
8|5.03692197799683|1.59049865603447|413.0223|16.93771|8|281|False
9|2.99962830543518|1.06635102331638|310.6805|34.03253|8|262|False
10|2.40367102622986|0.814053674042225|229.5224|31.7579|8|263|False
11|3.11402344703674|1.05260871350765|335.6415|37.19092|8|234.5|False
12|2.7227783203125|1.06121715903282|266.6378|31.13995|8|167.5|False
13|3.92257905006409|1.46200265288353|512.7364|62.10742|8|173.5|False
14|2.13321304321289|0.868999695777893|265.1756|65.10016|6|182|False
15|2.66434907913208|1.0411321491003|261.6581|31.80383|8|265|False
16|2.80115747451782|1.02914372384548|295.4899|37.38605|8|265.5|False
17|3.56487274169922|1.21369809508324|435.7855|51.11182|8|243.5|False
18|2.76528120040894|1.09965293109417|297.7902|40.07959|8|265.5|False
19|2.81996083259583|1.62554290890694|323.4283|43.93494|7|166|False
20|2.81797814369202|1.18981826007366|295.7612|36.70227|8|275.5|False
21|3.86573195457459|1.03121075928211|512.4351|56.71313|6|167|False
22|3.19728231430054|1.40830755829811|368.576|44.88977|8|275.5|False
23|2.39314293861389|0.721459174156189|228.103|31.71204|8|254|False
24|4.28213405609131|1.95609674453735|587.2675|72.28235|8|275.5|False
25|3.06659293174744|1.22748888283968|370.2722|54.30017|8|261.5|False
26|3.94401955604553|1.36674865484238|517.8586|63.04639|8|231|False
27|2.96434354782104|1.2362433180213|306.815|34.20703|8|209|False
28|2.95610189437866|1.77074941694736|298.2306|32.01221|8|275.5|False
29|3.92233490943909|1.6607563868165|511.9045|57.12292|7|183.5|False
30|3.34313011169434|1.56580457985401|405.5647|51.86426|8|275.5|False
