Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|26,9955272674561|5,98467206219211|236,1855|29,50859|7|175|False
2|26,9555644989014|-10,4141374230385|235,8887|29,5474|7|175|False
3|27,0074005126953|-5,00094499401748|236,3174|29,53484|7|175|False
4|26,9938373565674|-11,1638245105743|236,0893|29,43826|7|175|False
5|27,0112762451172|-0,164789165556431|236,2549|29,45242|7|175|False
6|26,9733142852783|-8,81381506621838|236,1513|29,64352|7|175|False
7|27,0075492858887|-4,6914859354496|236,2835|29,50449|7|175|False
8|26,9722671508789|-8,03006454706192|235,7443|29,30078|7|175|False
9|27,0183792114258|-1,32278315275908|236,2225|29,37265|7|175|False
10|27,0329113006592|-8,10140646509826|236,8538|29,81146|7|175|False
11|28,0301914215088|-3,7800451874733|242,1004|30,87897|8|160|False
12|28,0132942199707|-9,46385269463062|241,9435|30,86847|8|160|False
13|28,0116329193115|-7,75012943744659|241,9368|30,87543|8|160|False
14|28,0087242126465|-17,8909567661583|241,9394|30,90076|8|160|False
15|28,0078372955322|-7,72104138666764|241,9496|30,91705|8|160|False
16|28,0785942077637|-0,0480157434940338|242,4539|30,82147|8|160|False
17|28,1348247528076|-9,92257103919983|244,1673|31,97498|8|160|False
18|28,0055904388428|-2,67576401531696|241,9357|30,92212|8|160|False
19|28,0996131896973|-13,1744726419449|242,7093|30,8894|8|160|False
20|28,0005989074707|-3,071124792099|241,9241|30,95093|8|160|False
21|28,0274963378906|-11,7129949569702|241,9287|30,74353|8|160|False
22|28,1114807128906|-8,32688365597278|242,7985|30,87756|8|160|False
23|28,0032825469971|-5,3082773017697|241,9386|30,94299|8|160|False
24|27,9995517730713|-8,09953063130379|241,9344|30,96875|8|160|False
25|28,0224514007568|1,85347317457199|241,9533|30,80542|8|160|False
26|28,1309051513672|-16,9561638385057|248,5593|32,67102|7|173|False
27|28,1641731262207|-5,39714004993439|248,9124|32,73499|7|173|False
28|28,1779098510742|-5,80216982364655|249,0624|32,76563|7|173|False
29|28,1473560333252|-0,557573740184307|248,912|32,88|7|173|False
30|28,1525192260742|-4,59827425181866|249,0612|32,98474|7|173|False
31|28,1592025756836|-0,0421553701162338|248,9352|32,80054|7|173|False
32|28,1460647583008|-5,71786377429962|248,9228|32,9021|7|173|False
33|28,1626510620117|-5,95802385807037|248,9319|32,76746|7|173|False
34|28,1569347381592|-3,17510068416595|248,9357|32,82068|7|173|False
35|28,1540393829346|-8,22772228121758|248,9133|32,82336|7|173|False
36|28,1600914001465|-5,53492710776627|249,0675|32,92505|7|173|False
37|28,1630516052246|-12,366202378273|248,9077|32,73999|7|173|False
38|28,1574974060059|-2,66637235879898|248,9332|32,81323|7|173|False
39|28,1666069030762|-4,75207591950893|248,9307|32,73218|7|173|False
40|28,1532192230225|-16,0819238750264|248,9166|32,83374|7|173|False
41|28,1458168029785|1,28112160041928|248,9329|32,91431|7|173|False
42|28,1382255554199|-6,85509517490864|248,9093|32,95679|7|173|False
43|28,1523170471191|-7,83061933517456|249,062|32,9873|7|173|False
44|28,1612701416016|-0,454624527692795|249,0607|32,90796|7|173|False
45|28,159065246582|-7,12555837631226|249,0644|32,93091|7|173|False
46|28,1691913604736|2,54833567216992|248,9317|32,71094|7|173|False
47|28,1521530151367|-6,25653445720673|248,9144|32,84082|7|173|False
48|28,1495151519775|-3,66885590776801|248,9118|32,86108|7|173|False
49|28,2711696624756|-0,905638042092323|243,4356|30,29419|7|140,5|False
50|28,2696266174316|-0,254031825065613|243,2969|30,18433|7|140,5|False
51|28,2791938781738|4,79675898551941|243,2963|30,1123|7|140,5|False
52|28,2946319580078|-7,50301381647587|243,5517|30,21948|7|140,5|False
53|28,2874355316162|-1,26549063622952|243,5933|30,31006|7|140,5|False
54|28,3067035675049|6,97885073199868|243,6074|30,17773|7|140,5|False
55|28,2795295715332|-4,27011698484421|243,5922|30,3689|7|140,5|False
56|28,2945995330811|2,18640901744366|243,6186|30,27832|7|140,5|False
57|28,2994480133057|-2,67769109457731|243,7887|30,39136|7|140,5|False
58|28,2803649902344|-3,55779512226582|243,6351|30,40039|7|140,5|False
59|28,3023986816406|-1,92723750993609|243,615|30,21655|7|140,5|False
60|51,696949005127|0,468946259468794|252,5962|36,59644|8|203,5|False
61|52,0921401977539|-0,0952728748321533|255,5559|38,11157|8|203,5|False
62|51,8600006103516|-2,47281269878149|253,4212|36,72632|8|203,5|False
63|51,884937286377|1,83681439012289|253,2969|36,44531|8|203,5|False
64|51,9308815002441|-2,39819985032082|253,4176|36,34863|8|203,5|False
65|51,8450469970703|2,68120921254158|255,5816|39,60522|8|203,5|False
66|51,9208946228027|0,79144848883152|253,3965|36,37573|8|203,5|False
67|51,7664375305176|2,21123385429382|252,5269|36,1499|8|203,5|False
68|51,9023475646973|-3,16548440493643|253,3522|36,41992|8|203,5|False
