1
Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3,99047660827637|1,8610247656703|513,5018|57,72055|8|161,5|False
2|4,87947607040405|1,74346825182438|418,652|18,58295|8|280|False
3|3,59533762931824|1,09165672957897|435,604|49,27736|8|281|False
4|10,2636566162109|1,51212264299393|1320,809|42,24857|8|281|False
5|2,64041066169739|0,826652026176453|250,7115|29,37384|8|251,5|False
6|2,41451096534729|0,92082082927227|227,4462|30,57291|8|281|False
7|3,08441948890686|1,16476286202669|398,6066|71,42804|8|249,5|False
8|5,03692197799683|1,59049865603447|413,0223|16,93771|8|281|False
9|2,99962830543518|1,06635102331638|310,6805|34,03253|8|262|False
10|2,40367102622986|0,814053674042225|229,5224|31,7579|8|263|False
11|3,11402344703674|1,05260871350765|335,6415|37,19092|8|234,5|False
12|2,7227783203125|1,06121715903282|266,6378|31,13995|8|167,5|False
13|3,92257905006409|1,46200265288353|512,7364|62,10742|8|173,5|False
14|2,13321304321289|0,868999695777893|265,1756|65,10016|6|182|False
15|2,66434907913208|1,0411321491003|261,6581|31,80383|8|265|False
16|2,80115747451782|1,02914372384548|295,4899|37,38605|8|265,5|False
17|3,56487274169922|1,21369809508324|435,7855|51,11182|8|243,5|False
18|2,76528120040894|1,09965293109417|297,7902|40,07959|8|265,5|False
19|2,81996083259583|1,62554290890694|323,4283|43,93494|7|166|False
20|2,81797814369202|1,18981826007366|295,7612|36,70227|8|275,5|False
21|3,86573195457459|1,03121075928211|512,4351|56,71313|6|167|False
22|3,19728231430054|1,40830755829811|368,576|44,88977|8|275,5|False
23|2,39314293861389|0,721459174156189|228,103|31,71204|8|254|False
24|4,28213405609131|1,95609674453735|587,2675|72,28235|8|275,5|False
25|3,06659293174744|1,22748888283968|370,2722|54,30017|8|261,5|False
26|3,94401955604553|1,36674865484238|517,8586|63,04639|8|231|False
27|2,96434354782104|1,2362433180213|306,815|34,20703|8|209|False
28|2,95610189437866|1,77074941694736|298,2306|32,01221|8|275,5|False
29|3,92233490943909|1,6607563868165|511,9045|57,12292|7|183,5|False
30|3,34313011169434|1,56580457985401|405,5647|51,86426|8|275,5|False


1
Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3,95911502838135|1,49368304014206|511,8051|54,83099|7|160|False
2|2,57097005844116|0,878549173474312|260,9897|35,62084|8|281|False
3|2,9805862903595|1,40635848045349|336,7236|44,09483|8|195,5|False
4|3,44692087173462|1,10156122744083|280,7032|18,58873|8|281|False
5|3,86493921279907|1,53156742155552|513,5259|61,82268|7|144|False
6|2,77672982215881|0,901116661727428|265,1134|28,88483|8|281|False
7|2,91772127151489|1,11449445188045|298,8984|33,58801|8|195,5|False
8|3,9548876285553|1,03159406334162|139,599|5,12561|8|281|False
9|3,00163769721985|1,33507141470909|337,2649|39,74149|7|210,5|False
10|16,6736698150635|2,57495411932468|2594,116|81,83966|8|281|False
11|2,69497084617615|1,25700198709965|269,2611|33,02472|8|270|False
12|2,72212266921997|1,00090976059437|268,5426|31,73975|8|254,5|False
13|2,95160675048828|1,09921193122864|301,1838|33,01172|8|183|False
14|1,7530769109726|0,707885880768299|86,55625|10,99878|8|281|False
15|2,77836656570435|0,850861901044846|263,9943|28,53802|8|140|False
16|4,17169094085693|1,51064694821835|311,1801|14,94293|8|281|False
17|2,45505166053772|0,826429736614227|229,4408|29,62384|8|203|False
18|3,26043605804443|1,33583728075027|371,2061|42,61487|8|255|False
19|2,80315256118774|1,08005567193031|304,8864|40,90308|8|177,5|False
20|3,24425077438354|1,04757378846407|370,6483|40,09857|7|216,5|False
21|3,71463465690613|1,26204131245613|471,5171|57,24268|8|278|False
22|2,92750072479248|1,23648937493563|301,2312|33,922|8|225|False
23|3,11544823646545|0,996341894567013|366,0045|41,33655|6|208,5|False
24|4,76807928085327|1,32187926769257|347,0657|13,88586|8|281|False
25|3,02126240730286|1,24909756034613|332,5485|40,2998|8|250,5|False
26|2,62789392471313|0,995095832645893|263,8163|34,01978|8|201|False
27|4,2013521194458|1,42724607884884|585,3231|78,948|8|281|False
28|2,88917899131775|1,40030442625284|336,0629|49,74792|8|220,5|False
29|36,2487449645996|2,80039411187172|5583,748|71,61707|8|281|False
30|2,76630258560181|1,37235624790192|261,5222|28,26172|8|181|False


1
Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|2,89438199996948|1,50946792662144|299,9367|34,82108|8|127|False
2|4,39983510971069|1,23583479821682|202,1738|7,079823|8|281|False
3|2,83315587043762|1,07883939743042|296,1381|36,15267|8|142|False
4|2,52223706245422|0,82895240932703|130,1433|9,725342|8|281|False
5|2,86511015892029|1,03648851811886|299,558|35,91879|8|217|False
6|3,89433979988098|1,44288295358419|511,3312|63,57068|8|232|False
7|2,7646918296814|1,20612630099058|268,5333|30,21667|8|195,5|False
8|2,68716931343079|0,796276038885117|266,5664|32,46835|8|226,5|False
9|2,96506690979004|1,33021905720234|309,1899|34,90579|8|220|False
10|14,6827096939087|1,753237631917|656|75,45642|8|246|True
11|3,07109475135803|1,6617913082242|336,4015|36,46942|7|142|False
12|3,43053603172302|1,11352179348469|403,2531|45,77545|8|281|False
13|4,19551515579224|1,22858313471079|548,2384|59,5271|8|228,5|False
14|2,92176342010498|1,10533466339111|301,5814|34,25024|8|250|False
15|3,43569493293762|1,25789986997843|439,7933|57,11145|7|156|False
16|14,5986423492432|2,11731658875942|656|83,534|8|205|True
17|2,94729471206665|1,42007604390383|303,2345|33,7757|8|217,5|False
18|3,05114221572876|1,6938555598259|335,9554|40,08862|8|249,5|False
19|4,02052307128906|1,97390506565571|583,7159|102,6566|8|233|False
20|14,7953290939331|3,26569286882877|656|66,80273|8|243|True
21|3,8843400478363|1,50946441590786|482,8195|51,5332|8|232|False
22|3,98494791984558|1,83501555323601|527,8875|64,99658|8|179|False
23|3,17771601676941|1,39857849180698|370,3148|46,70923|8|217,5|False
24|6,30101251602173|1,84115141630173|444,7565|12,54993|8|281|False
25|3,15880513191223|1,19090811908245|364,8274|45,52747|8|257|False
26|2,75840520858765|1,1344092682004|261,9355|28,6145|8|277,5|False
27|3,53324007987976|1,4684483319521|435,9199|49,14685|7|221,5|False
28|11,1840696334839|1,48538385331631|1615,678|62,80957|8|281|False
29|4,52516794204712|1,60789688825607|630,4395|75,08472|8|214|False
30|8,04529285430908|1,31945827752352|637,1071|14,72595|8|281|False


2
Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3,28763198852539|1,57418276816607|371,2644|41,34454|8|96|False
2|4,22581720352173|1,01146665215492|582,2746|74,5444|8|281|False
3|2,99540066719055|0,824103063344955|333,4738|41,96233|8|118,5|False
4|2,88841509819031|0,803913074731827|304,031|36,41408|8|228,5|False
5|1,78157293796539|0,723342162370682|161,5724|36,6895|8|215,5|False
6|3,09006094932556|0,975355303287506|335,9664|38,31317|8|228,5|False
7|3,06391215324402|1,14409091174603|336,281|39,60095|8|247|False
8|3,38166618347168|0,972103163599968|403,7944|48,68744|8|241|False
9|3,13323760032654|1,01200230717659|355,7418|40,06723|7|178,5|False
10|4,06117105484009|1,22341064810753|536,0202|58,61966|7|182|False
11|2,70884251594543|1,27629298716784|268,4648|32,2215|8|199|False
12|2,94702911376953|1,40940124839544|334,8026|38,3501|6|171,5|False
13|3,26924443244934|1,08821424841881|202,2479|11,72675|8|281|False
14|3,70130753517151|1,19510979354382|472,7275|58,77234|8|184|False
15|3,70590400695801|1,60527988374233|478,1494|61,1582|8|201|False
16|2,96108675003052|1,49322766065598|329,6225|42,27875|8|199|False
17|3,23164415359497|1,17967310845852|367,0374|42,52429|8|235,5|False
18|3,03427529335022|1,01334910988808|336,286|41,03491|8|203|False
19|2,85072088241577|1,00474964082241|302,8728|37,71655|8|171,5|False
20|2,77247333526611|1,06235645413399|295,0012|38,60596|8|255,5|False
21|2,66611766815186|0,857592332363129|267,3669|33,59094|8|178|False
22|4,06208992004395|1,2224480971694|527,2332|59,06775|8|220|False
23|2,57975363731384|1,0123796582222|261,5317|35,40137|8|249|False
24|2,92668461799622|0,956294849514961|313,7816|38,05981|8|251|False
25|14,4787521362305|1,7065867960453|656|98,58447|8|236,5|True
26|3,51285672187805|1,62675143480301|452,2317|57,60681|7|210,5|False
27|4,29273223876953|1,11369140744209|240,6966|9,417236|8|281|False
28|3,16691970825195|1,44795785099268|337,7132|35,73608|8|251|False
29|2,82817673683167|1,00232012867928|300,7009|35,04651|7|240|False
30|2,78556132316589|1,1962689012289|296,9458|38,69006|8|229|False


2
Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
